link,titulo,precio,tipo_venta,num_banos,superficie,ubicacion,metros_cuadrados,precio_metro_cuadrado,fecha_hora_de_carga
https://www.portalinmobiliario.com/MLC-1873963714-vendo-estupendo-departamento-en-cochoa-preciosa-vista-_JM#position=32&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,Vendo Estupendo Departamento En Cochoa Preciosa Vista.,3700.0,Departamento en venta,1 baño,36 m² útiles,"Cochoa, Reñaca, Viña Del Mar",36,102.77777777777776,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1435895291-oferton-ubicacion-y-rentabilidad-venta-dpto-_JM#position=34&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,Oferton! Ubicación Y Rentabilidad Venta Dpto,2424.0,Departamento en venta,1 baño,40 m² útiles,"Av Borgoño, 14440, Reñaca, Viña De...",40,60.6,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2146756890-oportunidad-acogedor-departamento-en-renaca-_JM#position=36&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,¡oportunidad! Acogedor Departamento En Reñaca,2890.0,Departamento en venta,1 baño,38 m² útiles,"...a Pasos Del Mar 2d/1b, 0, Reñac...",38,76.05263157894737,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2179394326-imperdible-dpto-1d-1b-estac-el-encanto-renaca-_JM#position=39&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,"Imperdible!!! Dpto 1d 1b, Estac, El Encanto, Reñaca",3813.0,Departamento en venta,1 baño,50 m² útiles,"Subida El Encanto, Viña Del Mar, C...",50,76.26,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1426973355-departamento-en-venta-de-1-dorm-en-vina-del-mar-_JM#position=40&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,Departamento En Venta De 1 Dorm. En Viña Del Mar,2042.0,Departamento en venta,1 baño,29 m² útiles,"Reñaca Centro, Reñaca, Viña Del Mar",29,70.41379310344827,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2123407202-departamento-en-venta-de-1-dorm-en-vina-del-mar-_JM#position=41&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,Departamento En Venta De 1 Dorm. En Viña Del Mar,2990.0,Departamento en venta,1 baño,30 m² útiles,"Borgoño, Reñaca, Viña Del Mar",30,99.66666666666669,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2063600428-oportunidad-gran-inversion-departamento-1d-1b-con-est-y-bod-_JM#position=42&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,Oportunidad: Gran Inversión Departamento 1d 1b Con Est Y Bod,2550.0,Departamento en venta,1 baño,34 m² útiles,"Av. José Manuel Balmaceda 833, Val...",34,75.0,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1442537483-departamento-amoblado-frente-al-mar-renaca-_JM#position=43&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,Departamento Amoblado Frente Al Mar Reñaca,2750.0,Departamento en venta,1 baño,35 m² útiles,"Las Brisas 1 - 300, Valparaíso, Vi...",35,78.57142857142857,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1461088885-para-inversionistas-las-golondrinas-edmundo-eluchans-_JM#position=44&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,Para Inversionistas Las Golondrinas - Edmundo Eluchans,3570.0,Departamento en venta,1 baño,37 m² útiles,"Las Golondrinas 1731, Viña Del Mar...",37,96.48648648648648,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2127882738-oportunidad-buen-precio-solo-para-inversion-_JM#position=45&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,Oportunidad !!! Buen Precio (solo Para Inversión),3100.0,Departamento en venta,1 baño,30 m² útiles,"Bellavista 910, Viña Del Mar, Chil...",30,103.33333333333331,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2238926482-soleado-y-comodo-con-muy-buena-ubicacion-jardin-del-mar-_JM#position=46&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,"Soleado Y Cómodo Con Muy Buena Ubicación, Jardín Del Mar.",3676.0,Departamento en venta,1 baño,65 m² útiles,"Talasia 353, Viña Del Mar, Chile, ...",65,56.55384615384615,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1432980687-para-inversion-dorm-estac-bodega-buen-precio-_JM#position=47&search_layout=grid&type=item&tracking_id=3172fb26-3002-4f75-8997-280862583145,Para Inversión !!!  Dorm + Estac + Bodega (buen Precio),2500.0,Departamento en venta,1 baño,36 m² útiles,Avenida José Manuel Balmaceda 600 ...,36,69.44444444444444,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2165387278-vass-vende-dpto-2d-1b-a-pasos-del-mar-renaca-vina-del-mar-_JM#position=3&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Vass Vende Dpto 2d 1b, A Pasos Del Mar, Reñaca, Viña Del Mar",3813.0,Departamento en venta,1 baño,56 m² útiles,"Avenida José Manuel Balmaceda 365,...",56,68.08928571428571,2024-02-03 12:26:32.470495
