url,title,published,price,maintenance,size,bedrooms,bathrooms,broker,adress,google_maps_pin,secondary_attributes,description,type
https://www.portalinmobiliario.com/MLC-2065757286-espectacular-departamento-en-renaca-_JM#position=10&search_layout=grid&type=item&tracking_id=e28591a9-688e-4fcf-bb3f-5687fefc5747,Espectacular Departamento En Reñaca.,Publicado hace 9 meses por Engel & Völkers Reñaca,UF20.000,Gastos comunes aproximados $ 700.000, 396 m² totales, 4 dormitorios, 4 dormitorios,Engel & Völkers Reñaca,"Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9618833%2C-71.5455742&zoom=16&size=732x300&signature=2Zplr5COwKMCH-YBQ4SJnuZ-urw=,"Orientación: P,Piscina: No,Admite mascotas: No,Antigüedad: 19 años,Bodegas: 0,Ascensor: Sí,Terraza: Sí,Estacionamientos: 5,Número de piso de la unidad: 4","Amplio departamento con maravillosa vista, ascensor directo, 4 dormitorios, 4 baños sala de estar, escritorio, living comedor separados, cocina con comedor de diario, pieza de servicio, loggia, espectacular vista, sala de cine en el departamento y bar. Estacionamiento para 5 autos.",Departamento en Venta
https://www.portalinmobiliario.com/MLC-1435000179-departamento-en-renaca-_JM#position=38&search_layout=grid&type=item&tracking_id=719a9ca3-e212-488f-ac3d-da63df6fd15a,Departamento En Reñaca,Publicado hace 9 meses por Engel & Völkers Reñaca,UF18.000,Gastos comunes aproximados $ 380.000, 173 m² totales, 3 dormitorios, 3 dormitorios,Engel & Völkers Reñaca,"Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9629375%2C-71.5466917&zoom=16&size=732x300&signature=Bu28AfDmlNIty5e2xbhjnVHarCA=,"Orientación: NOSP,Piscina: Sí,Admite mascotas: No,Antigüedad: 36 años,Bodegas: 1,Ascensor: No,Terraza: Sí,Estacionamientos: 2,Número de piso de la unidad: 3","Amplio departamento en Reñaca, primera lìnea. Hall de entrada, living comedor juntos con salida a terraza sobre la playa, con porcelanato. Baño de visita. Tres dormitorios alfombrados, principal, con vista al mar, en suite, un baño que comparten los otros dos. Cocina con orientación norte, la que tiene incorporada una pequeña logia, y pieza y baño de servicio. Dos estacionamientos subterráneos y una bodega.Las áreas comunes incluyen piscina exterior climatizada, piscina temperada interior, gimnasio",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2086681556-oelckers-vende-precioso-depto-nuevo-las-monjas-renaca-_JM#position=31&search_layout=grid&type=item&tracking_id=38aaa1fc-e098-4464-b459-5ad87403012c,"Oelckers Vende, Precioso Depto Nuevo, Las Monjas, Reñaca",Publicado hace 3 meses,UF10.250,Gastos comunes aproximados $ 230.000, 159 m² totales, 2 dormitorios, 2 dormitorios,"Oelckers Inmobiliario, Inversiones & Jurídico","General Bulnes 1 - 300, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9705703%2C-71.5293107&zoom=16&size=732x300&signature=9AMKPsPbXbLEkmBDrNlMq7Xi5VQ=,"Orientación: NP,Piscina: No,Admite mascotas: Sí,Antigüedad: 0 años,Bodegas: 0,Ascensor: Sí,Terraza: Sí,Estacionamientos: 0,Número de piso de la unidad: 2","En venta precioso departamento nuevo a estrenar ubicado en Avda. General Bulnes, sector Las Monjas, Los Almendros de Reñaca en exclusivo edificio de solo 12 departamentos, 2 departamentos por área.Disponibilidad inmediata128 mts2 construidos y 150 mts2 totalesGran living-comedorBaño de visitasEspectacular Terraza de 25 m2Cocina tradicional con logia, cubiertas en cuarzo, horno y encimera a gas con 6 quemadores.Comedor de diario incorporadoLoggia3 dormitorios y 2 baños completos con ventilación natural, principal en suiteSala de estarPrincipal en suite con walking closet y closet tradicionalMuy soleado con orientación nor-ponientePiso vinílico en living y dormitorios y porcelanato en baños y cocina.Ventanas termopanelAltura cielos 2,55 mPuertas con acceso universal, ancho de puertas principal y dormitorio 90 cm.Gasto común $230.000.- app Edificio cuenta con hall de acceso, accesos controlados, conserjería 24/7 y áreas verdes.A pasos de Reñaca, Club Español, comercios, colegios, universidad, con excelente conectividad.ADICIONALES:Estacionamiento 410 UF c/uBodega amplia 100 UF c/u2% DE COMISIÓN DE CORRETAJE DE PROPIEDADES",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2114027076-tejada-departamento-de-lujo-en-jardin-del-mar-4d4b3e-_JM#position=19&search_layout=grid&type=item&tracking_id=1c19c853-8c4a-4f1b-8f2f-86f43d792f16,Tejada Departamento De Lujo En Jardín Del Mar 4d+4b+3e,Publicado hace 1 año,UF12.500,Gastos comunes aproximados $ 240.000, 230 m² totales, 4 dormitorios, 4 dormitorios,Tejada Propiedades,"Avenida Jardines De Reñaca 123, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9781485%2C-71.5269457&zoom=16&size=732x300&signature=Tw7m-TqQrAXNpQ4SDTAKtl5CCb8=,"Estacionamientos: 3,Bodegas: 1","PROPIEDAD EMPLAZADA EN JARDIN DEL MARDEPARTAMENTO DE LUJO-DUPLEXTERMOPANEL3 ESTACIONAMIENTOS CUBIERTOSBODEGA2 PISCINASQUNCHOS AREAS VERDESGIMNASIO1ER NIVEL:HALL ACCESO, PUERTAS FRANCESASLIVING COMEDOR AMPLIO VISTA FULL PONIENTECOCINA CON COMEDOR DE DIARIOBAÑO DE VISITAS2 DORMITORIOSBAÑO COMPLETOGRAN DORMITORIO PRINCIPAL EN SUITE Y W-CLOSET2DO NIVEL:1 DORMITORIO AMPLIOBODEGASBAÑO COMPLETOSALA DE ESTAR CON SALIDA A TERRAZA PANORAMICAESCRITORIO EN DOBLE ALTURA O UN 5TO DORMITORIOGASTOS COMUNES APROX $240.000 INLCUIDA EL AGUADIRECCION REFERENCIAL",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2270438370-venta-exclusivo-y-lindo-depto-renaca-gastn-hamel-n-_JM#position=20&search_layout=grid&type=item&tracking_id=5f03d76e-4467-4906-84fa-fbdb52ea2cfb,Venta Exclusivo Y Lindo Depto . Reñaca ( Gastòn Hamel N.),Publicado hace 2 días,UF12.700,Gastos comunes aproximados $ 300.000, 175 m² totales, 3 dormitorios, 3 dormitorios,Vasca Propiedades,"Av. Gastón Hamel Nieto 1 - 300, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9600878%2C-71.539274&zoom=16&size=732x300&signature=DB3DzFb0Jqrsolu32jFEeRh3UkA=,"Ascensor: Sí,Terraza: Sí,Bodegas: 1,Piscina: Sí,Estacionamientos: 2","Espacioso y lindo depto en excelente ubicaciòn  Solo 3 deptos por piso.Barrio residencial muy tranquilo Muy buena coneccion y cerca de comercio, Buenos colegios ,etc.Depto cuenta con:Living comedor Amplia cocina equipada3 Dormitorios ( Piso flotante de alto tràfico Aleman)3 bañosSala Family roomTodo el piso  depto  es de porcelanato, excepto dormitorios. ( piso flotante)2 terrazas1 bodega2 EstacionamientosGastos comunes $ 300.000 ( incluye agua caliente)Piscina Sala de eventosCoordinaciòn de visitas y consulta al mail y celular de publicaciòn.VASCA Propiedades",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2218227488-vista-360-al-mar-_JM#position=32&search_layout=grid&type=item&tracking_id=12a9cbb7-3cd7-4115-99ca-55561246b159,Vista 360 Al Mar,Publicado hace 28 días,UF5.250,Gastos comunes aproximados $ 137.000, 90 m² totales, 2 dormitorios, 2 dormitorios,A&t Gestión Inmobiliaria,"Los Sargazos, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9749615%2C-71.5351864&zoom=16&size=732x300&signature=aF2o45_WAw9stSeCauV64x90mL0=,"Orientación: NP,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 26 años,Ascensor: Sí,Terraza: Sí,Estacionamientos: 1,Bodegas: 1","A pasos de playa y centros comerciales se encuentra este amplio departamento de 2 dormitorios y dos baños. Tiene vista panorámica desde todo el departamento y excelente orientación. Cocina tradicional, estacionamiento y bodega. El edificio cuenta con piscina, lavandería, centro de eventos y áreas verdes.",Departamento en Venta
https://www.portalinmobiliario.com/MLC-1446146407-i-holzapfel-803-hermoso-depto-3d2b-jardin-del-mar-_JM#position=46&search_layout=grid&type=item&tracking_id=e8851ca2-076b-4e87-87f9-2dd4d02216c9,I. Holzapfel #803 | Hermoso Depto 3d2b Jardín Del Mar,Publicado hace 2 meses,$170.000.000,Gastos comunes aproximados $ 80.000, 90 m² totales, 3 dormitorios, 3 dormitorios,Inmobiliaria Holzapfel,"Jardín Del Mar, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9763982%2C-71.5394676&zoom=16&size=732x300&signature=YqpZWuju7ZomAfogCVZwY9NXfKM=,Estacionamientos: 1,"Departamento en VentaValor CLP $170.000.000Gastos Comunes: $80.000Superficie: 80 m2Superficie terraza: 10 m2  Dormitorios: 3Baños: 2Estacionamientos: 1¡EN EXCLUSIVIDAD GRAN OPORTUNIDAD! Se vende lindo departamento ubicado en condominio de edificios en tranquilo sector de Jardín del Mar, cercano a Clínica Reñaca, a pasos de supermercados, centro de Reñaca, playas y locomoción. El departamento posee 3 dormitorios y dos baños, dormitorio principal en suite. Condominio posee grandes piscinas con toboganes, juegos infantiles, canchas y senderos, quinchos y sala de eventos. El valor del departamento es de CLP $170.000.000¡Agenda tu visita!",Departamento en Venta
https://www.portalinmobiliario.com/MLC-1891620350-condominio-costamar-jardin-de-mar-_JM#position=42&search_layout=grid&type=item&tracking_id=38aaa1fc-e098-4464-b459-5ad87403012c,"Condominio Costamar, Jardín De Mar",Publicado hace 5 meses,$155.000.000,Gastos comunes aproximados $ 75.000, 78 m² totales, 2 dormitorios, 2 dormitorios,Guilá & Pino,"Avenida Jardines De Reñaca 1 - 300, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9777104%2C-71.5280899&zoom=16&size=732x300&signature=2fJb7Rix4QbyCZG_yP7LGQMC8yo=,"Orientación: NOSP,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 9 años,Bodegas: 0,Ascensor: Sí,Terraza: Sí,Estacionamientos: 1,Número de piso de la unidad: 9","Estupendo departamento ubicado en Jardín del Mar.Excelente inversión, se vende completamente amoblado, tal como aparece en las imágenes.Cuenta con 2 dormitorios, 2 baños, estar comedor, cocina americana con comedor de vidrio, encimera, horno eléctrico, refrigerador etc.Terraza con hermosa vista al mar y horizonte.Cuenta con una caldera propia para calefacción y agua caliente, radiadores en dormitorios y estar comedor.Gastos comunes $75.000Contribuciones $135.000 trimestral",Departamento en Venta
https://www.portalinmobiliario.com/MLC-2038635190-3d-3b-2est-bod-estadio-espanol-renaca-vina-del-mar-_JM#position=16&search_layout=grid&type=item&tracking_id=8439c9c0-7e9e-47c1-ac00-82a2a8b82861,"3d 3b 2est Bod, Estadio Español, Reñaca, Viña Del Mar",Publicado hace 9 meses,UF6.255,Gastos comunes aproximados $ 150.000, 139 m² totales, 3 dormitorios, 3 dormitorios,Aire Puro Propiedades,"Freire & Gral. Prieto, Viña Del Mar, Valparaíso, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.9697991%2C-71.5244529&zoom=16&size=732x300&signature=LfK-OJWB1yoQhX95AA91CBBt9xU=,"Orientación: N,Piscina: Sí,Estacionamientos: 2,Ascensor: Sí,Terraza: Sí,Bodegas: 1","Departamento PRECIOSO ubicado en Reñaca, Sector Estadio Español, cómodo, amplio, clarito, en Condominio.El departamento de 120 m2 útiles, consta de hall de distribución, amplio living-comedor, bar, amplia cocina con amplia loggia, 3 dormitorios, 3 baños (1 en suite), mas terraza cerrada de 19 m2, en total son 139 m2, un estacionamiento para 2 autos y una bodega.La orientación del departamento es hacia el norte, el mejor sol.El Condominio tiene seguridad las 24 horas del día, piscina, gimnasio, ascensor, lavandería, grandes areas verdes.Los gastos comunes ascienden a $150.000.-NO TIENE DEUDA HIPOTECARIA.El valor es de U.F. 6.255.- SE ACEPTAN OFERTAS.",Departamento en Venta
https://www.portalinmobiliario.com/MLC-1458382261-imperdible-ultimo-precio-por-pago-contado-roi-68-_JM#position=18&search_layout=grid&type=item&tracking_id=d98a400c-3f4f-4ef6-bc62-d9f99528d868,"Imperdible Último Precio !!! Por Pago Contado (roi 6,8%) ",Publicado hace 18 días,$70.000.000,Gastos comunes aproximados $ 50.000, 40 m² totales, 1 dormitorio, 1 dormitorio,Casahouse Proyectos Inmobiliarios,"Avenida José Manuel Balmaceda 600 - 900, Valparaíso, Viña Del Mar, Chile, Reñaca, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-32.971017%2C-71.5338404&zoom=16&size=732x300&signature=Pd6RMe4TnYP4QLBuip80BoLiDl4=,"Orientación: SP,Terraza: Sí,Antigüedad: 26 años,Bodegas: 0,Piscina: Sí,Estacionamientos: 0,Número de piso de la unidad: 3","Venta, Dpto. 1D, 1B, Reñaca, Viña del Mar (Sector Club Español) (Rentabilidad anual 6,8%, en arriendo)Generalidades de interés:* Máxima proyección en términos de Plusvalía* En sector ya consolidado* A pasos de Univ Valparaíso (Cede Reñaca)* En residencial sector de Reñaca (Colegio Mc Kay, Club Español)* Conectividad directa hacia Viña y Playa de Reñaca (Locomoción colectiva)Características:- Edificio Brisas Marinas- 1 Dormitorios de (3x3)m2 - 1 Baños en suite- Cocina americana- Living comedor amplio (3x5)m2- Ubicación en Piso 3 - Terraza abierta (3x2)m2 - Superficie total 40 m2- Piso cerámico (en todo el dpto) - Orientación Sur-Poniente Servicios- Piscina Exterior- Sala de Lavando y secado (con ficha)- Juego infantil- Areas verdes- conserjería 24 horas- Edificio de 4 pisos- Valor pago contado $70,000,000.-- Valor otra forma de pago $85,000,000.- - Gastos comunes $30,000.-- Contribuciones, Dpto exento- Año de construcción 1997",Departamento en Venta
